"Time","O2","Condition","ID","Experiment","Pressure_MPa","Slope","Length..mm.","Prosome.length","DW_mg","Resp_umol_mgDW_h"
0.999999999999999,216.099140456882,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.00833333333333,215.701619101673,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.01666666666667,216.31012705392,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.025,215.54469960685,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.03333333333333,215.565138413293,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.04166666666667,216.257021236467,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.05,213.90836942732,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.05833333333333,215.881602589733,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.06666666666667,215.697363740102,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.075,214.688441731191,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.08333333333333,216.237631853102,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.09166666666667,215.88365281789,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.1,215.206372821804,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.10833333333333,216.26856724714,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.11666666666667,215.204529212049,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.125,216.611298287971,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.13333333333333,215.432130927799,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.14166666666667,215.794633161254,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.15,215.458252433263,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.15833333333333,200.113611270078,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.16666666666667,214.304069525965,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.175,215.377709726423,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.18333333333333,215.232084187227,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.19166666666667,215.619246382991,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.2,216.639680360257,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.20833333333333,215.551505987244,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.21666666666667,215.608362449097,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.225,215.487648651025,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.23333333333333,215.278824486237,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.24166666666667,216.311273139094,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.25,215.540704813556,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.25833333333333,215.476704850055,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.26666666666667,215.758256913037,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.275,214.155767787523,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
1.28333333333333,215.638351263383,"ZooHP","ZooHP.1","10MPA_exp1",10,-1.61426028056712,3.41,2.65,0.375000025870289,-0.0215234689227126
